Existence of commercial and service activities by type - self employment,Existence of commercial and service activities by type - public sector,Existence of commercial and service activities by type - banking institutions,Existence of commercial and service activities by type - service institutions,Existence of commercial and service activities by type - commerce,Town,refArea,Total number of commercial institutions by size - number of small institutions,Total number of commercial institutions by size - number of medium-sized institutions,Total number of commercial institutions by size - number of large-sized institutions,Total number of service institutions,Total number of non banking financial institutions,Observation URI,publisher,dataset,references
1,0,0,0,0,Lassa,http://dbpedia.org/resource/Byblos_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Lassa,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,1,1,0,1,Lebaa,https://dbpedia.org/page/South_Governorate,20,2,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Lebaa,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,1,Lehfed,http://dbpedia.org/resource/Byblos_District,4,1,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Lehfed,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,0,Libbaya West Bekaa,http://dbpedia.org/resource/Western_Beqaa_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Libbaya+West+Bekaa,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,1,Louayzet Jezzine,https://dbpedia.org/page/South_Governorate,3,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Louayzet+Jezzine,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Loubieh,http://dbpedia.org/resource/Sidon_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Loubieh,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,1,Maad,http://dbpedia.org/resource/Byblos_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Maad,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,1,Maarab,http://dbpedia.org/resource/Keserwan_District,3,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Maarab,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Maaraboun,https://dbpedia.org/page/Baalbek-Hermel_Governorate,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Maaraboun,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,1,Maarakeh,http://dbpedia.org/resource/Tyre_District,50,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Maarakeh,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,0,Maaroub,http://dbpedia.org/resource/Tyre_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Maaroub,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Maasrati,http://dbpedia.org/resource/Aley_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Maasrati,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Maasser Beit Ed-Dine,https://dbpedia.org/page/Mount_Lebanon_Governorate,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Maasser+Beit+Ed-Dine,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,0,Maasser Ech-Chouf,https://dbpedia.org/page/Mount_Lebanon_Governorate,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Maasser+Ech-Chouf,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,1,0,0,1,Maaysra Kesrouane,http://dbpedia.org/resource/Keserwan_District,4,1,1,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Maaysra+Kesrouane,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,1,1,0,Machghara,http://dbpedia.org/resource/Western_Beqaa_District,0,0,0,1,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Machghara,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Machha,https://dbpedia.org/page/Akkar_Governorate,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Machha,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,1,0,Machmoucheh,https://dbpedia.org/page/South_Governorate,0,0,0,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Machmoucheh,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,1,Machta Hammoud,https://dbpedia.org/page/Akkar_Governorate,4,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Machta+Hammoud,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,1,Machta Hassan,https://dbpedia.org/page/Akkar_Governorate,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Machta+Hassan,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,1,Maghdoucheh,http://dbpedia.org/resource/Sidon_District,140,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Maghdoucheh,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,1,Magher wbala,http://dbpedia.org/resource/Bsharri_District,8,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Magher+wbala,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Mahrouna,http://dbpedia.org/resource/Tyre_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Mahrouna,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,1,0,0,0,Majdala,https://dbpedia.org/page/Akkar_Governorate,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Majdala,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,1,0,0,0,Majdaloun,https://dbpedia.org/page/Baalbek-Hermel_Governorate,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Majdaloun,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Majdalouna,https://dbpedia.org/page/Mount_Lebanon_Governorate,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Majdalouna,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,1,0,1,Majdel,http://dbpedia.org/resource/Tyre_District,120,5,0,0,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Majdel,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,1,1,0,1,Majdel Aanjar,http://dbpedia.org/resource/Zahl̩_District,1500,5,0,0,30,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Majdel+Aanjar,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,1,0,0,1,Majdel Baana,http://dbpedia.org/resource/Aley_District,2,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Majdel+Baana,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Majdel Balhis,https://dbpedia.org/page/Beqaa_Governorate,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Majdel+Balhis,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Majdel El-Aqoura,http://dbpedia.org/resource/Byblos_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Majdel+El-Aqoura,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,1,Majdel El-Meouch,https://dbpedia.org/page/Mount_Lebanon_Governorate,6,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Majdel+El-Meouch,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,1,0,0,1,Majdel Selm,http://dbpedia.org/resource/Marjeyoun_District,239,0,0,0,2,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Majdel+Selm,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Majdel el-Koura,https://dbpedia.org/page/North_Governorate,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Majdel+el-Koura,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,0,Majdel tarchich,http://dbpedia.org/resource/Matn_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Majdel+tarchich,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,1,0,0,Majdelyoun,http://dbpedia.org/resource/Sidon_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Majdelyoun,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,1,0,0,1,Majdelzoun,http://dbpedia.org/resource/Tyre_District,20,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Majdelzoun,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,0,Maknounet Jezzine,https://dbpedia.org/page/South_Governorate,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Maknounet+Jezzine,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,1,0,0,1,Makseh,http://dbpedia.org/resource/Zahl̩_District,10,2,2,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Makseh,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Malkiyah Village,http://dbpedia.org/resource/Tyre_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Malkiyah+Village,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Mansoura,http://dbpedia.org/resource/Western_Beqaa_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Mansoura,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Mansoura ,https://dbpedia.org/page/Akkar_Governorate,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Mansoura+,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,1,0,0,0,Mansouri,http://dbpedia.org/resource/Tyre_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Mansouri,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Mansouriyet Bhamdoun,http://dbpedia.org/resource/Aley_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Mansouriyet+Bhamdoun,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,1,Maqneh,https://dbpedia.org/page/Baalbek-Hermel_Governorate,3,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Maqneh,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Mar Boutros Karm Et-Tine,http://dbpedia.org/resource/Matn_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Mar+Boutros+Karm+Et-Tine,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,1,0,1,Mar Chaaya,http://dbpedia.org/resource/Matn_District,40,1,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Mar+Chaaya,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Mar Mama,http://dbpedia.org/resource/Batroun_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Mar+Mama,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,0,Mar Moussa Ed-Douar,http://dbpedia.org/resource/Matn_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Mar+Moussa+Ed-Douar,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,0,Marj Barja,https://dbpedia.org/page/Mount_Lebanon_Governorate,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Marj+Barja,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,1,Marj Ez-Zouhour (Haouch El-Qinnaabeh),http://dbpedia.org/resource/Hasbaya_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Marj+Ez-Zouhour+%28Haouch+El-Qinnaabeh%29,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,0,Marjaba,http://dbpedia.org/resource/Matn_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Marjaba,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Markaba,http://dbpedia.org/resource/Marjeyoun_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Markaba,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,0,Maroun Er-Ras,http://dbpedia.org/resource/Bint_Jbeil_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Maroun+Er-Ras,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,1,Massa,http://dbpedia.org/resource/Zahl̩_District,7,3,3,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Massa,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,1,0,0,0,Massaaoudiyeh,https://dbpedia.org/page/Akkar_Governorate,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Massaaoudiyeh,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,1,Mayasseh,http://dbpedia.org/resource/Matn_District,3,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Mayasseh,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Maydoun,http://dbpedia.org/resource/Western_Beqaa_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Maydoun,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,1,0,0,1,Mayfadoun,https://dbpedia.org/page/Nabatieh_Governorate,20,1,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Mayfadoun,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,0,Mayfouq,http://dbpedia.org/resource/Byblos_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Mayfouq,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,1,Mayrouba,http://dbpedia.org/resource/Keserwan_District,20,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Mayrouba,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Mazareaa Jabal Akroum,https://dbpedia.org/page/Akkar_Governorate,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Mazareaa+Jabal+Akroum,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Mazraat Assaf,http://dbpedia.org/resource/Bsharri_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Mazraat+Assaf,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,1,0,0,0,Mazraat Balda,https://dbpedia.org/page/Akkar_Governorate,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Mazraat+Balda,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Mazraat Bani Saab,http://dbpedia.org/resource/Bsharri_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Mazraat+Bani+Saab,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Mazraat Bani Sakher,https://dbpedia.org/page/Akkar_Governorate,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Mazraat+Bani+Sakher,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,1,0,0,0,Mazraat Beit Ghattas,https://dbpedia.org/page/Akkar_Governorate,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Mazraat+Beit+Ghattas,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,0,Mazraat Ech-Chouf,https://dbpedia.org/page/Mount_Lebanon_Governorate,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Mazraat+Ech-Chouf,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,1,1,1,Mazraat El-Hdaira,http://dbpedia.org/resource/Matn_District,20,0,0,2,4,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Mazraat+El-Hdaira,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,0,Mazraat El-Mathane,https://dbpedia.org/page/South_Governorate,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Mazraat+El-Mathane,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,1,Mazraat Es-Dahr,https://dbpedia.org/page/Mount_Lebanon_Governorate,4,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Mazraat+Es-Dahr,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Mazraat Et-Teffah,http://dbpedia.org/resource/Zgharta_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Mazraat+Et-Teffah,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Mazraat Ez-Zalloutiyeh,http://dbpedia.org/resource/Tyre_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Mazraat+Ez-Zalloutiyeh,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Mazraat Harkish,http://dbpedia.org/resource/Zgharta_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Mazraat+Harkish,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,1,Mazraat Hokka,http://dbpedia.org/resource/Zgharta_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Mazraat+Hokka,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Mazraat Mechref,http://dbpedia.org/resource/Tyre_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Mazraat+Mechref,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Mazraat Nahr Zgharta,http://dbpedia.org/resource/Zgharta_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Mazraat+Nahr+Zgharta,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,1,0,0,0,Mazraat Swaidan,https://dbpedia.org/page/Baalbek-Hermel_Governorate,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Mazraat+Swaidan,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
